"Force, Time"
"1.38,18396"
"1.39,18408"
"1.39,18420"
"1.38,18433"
"1.38,18446"
"1.39,18458"
"1.39,18470"
"1.38,18483"
"1.38,18495"
"1.39,18508"
"1.39,18521"
"1.38,18533"
"1.38,18545"
"1.39,18557"
"1.39,18571"
"1.38,18583"
"1.38,18595"
"1.39,18608"
"1.39,18620"
"1.38,18632"
"1.38,18646"
"1.39,18658"
"1.39,18670"
"1.38,18682"
"1.38,18695"
"1.39,18708"
"1.39,18720"
"1.38,18733"
"1.38,18745"
"1.39,18757"
"1.39,18770"
"1.38,18783"
"1.38,18795"
"1.39,18807"
"1.39,18820"
"1.38,18832"
"1.38,18845"
"1.39,18857"
"1.39,18870"
"1.38,18882"
"1.38,18894"
"1.39,18908"
"1.39,18920"
"1.38,18932"
"1.38,18945"
"1.39,18957"
"1.39,18970"
"1.38,18982"
"1.38,18995"
"1.39,19007"
"1.39,19019"
"1.38,19032"
"1.38,19045"
"1.39,19057"
"1.39,19069"
"1.38,19082"
"1.39,19094"
"1.39,19107"
"1.39,19120"
"1.38,19132"
"1.39,19144"
"1.39,19156"
"1.39,19170"
"1.38,19182"
"1.39,19194"
"1.39,19207"
"1.39,19219"
"1.38,19231"
"1.39,19245"
"1.39,19257"
"1.39,19269"
"1.38,19281"
"1.39,19294"
"1.39,19307"
"1.39,19319"
"1.38,19332"
"1.39,19344"
"1.39,19356"
"1.39,19369"
"1.38,19382"
"1.39,19394"
"1.39,19406"
"1.39,19419"
"1.38,19431"
"1.39,19444"
"1.39,19457"
"1.39,19469"
"1.38,19481"
"1.39,19493"
"1.39,19507"
"1.39,19519"
"1.38,19531"
"1.39,19544"
"1.39,19556"
"1.39,19569"
"1.38,19581"
"1.39,19594"
"1.39,19606"
"1.39,19618"
"1.38,19631"
"1.39,19644"
"1.39,19656"
"1.38,19668"
"1.38,19681"
"1.39,19693"
"1.39,19706"
"1.38,19719"
"1.38,19731"
"1.39,19743"
"1.39,19756"
"1.38,19769"
"1.38,19781"
"1.39,19793"
"1.39,19806"
"1.38,19818"
"1.38,19830"
"1.39,19844"
"1.39,19856"
"1.38,19868"
"1.38,19880"
"1.39,19893"
"1.39,19906"
"1.38,19918"
"1.38,19931"
"1.39,19943"
"1.39,19955"
"1.38,19969"
"1.38,19981"
"1.39,19993"
"1.39,20005"
"1.38,20018"
"1.38,20030"
"1.39,20043"
"1.39,20056"
"1.38,20068"
"1.38,20080"
"1.39,20092"
"1.39,20106"
"1.38,20118"
"1.38,20130"
"1.39,20143"
"1.39,20155"
"1.38,20168"
"1.38,20180"
"1.39,20193"
"1.39,20205"
"1.38,20217"
"1.38,20230"
"1.39,20243"
"1.39,20255"
"1.38,20268"
"1.38,20280"
"1.39,20292"
"1.39,20305"
"1.38,20318"
"1.38,20330"
"1.39,20342"
"1.39,20355"
"1.38,20368"
"1.38,20380"
"1.39,20392"
"1.39,20405"
"1.38,20417"
"1.38,20429"
"1.39,20443"
"1.39,20455"
"1.38,20467"
"1.38,20480"
"1.39,20492"
"1.39,20505"
"1.38,20517"
"1.38,20530"
"1.39,20542"
"1.39,20554"
"1.38,20568"
"1.38,20580"
"1.39,20592"
"1.39,20604"
"1.38,20617"
"1.38,20629"
"1.39,20642"
"1.39,20655"
"1.38,20667"
"1.38,20679"
"1.39,20691"
"1.39,20705"
"1.38,20717"
"1.38,20729"
"1.39,20742"
"1.39,20754"
"1.38,20767"
"1.39,20780"
"1.39,20792"
"1.39,20804"
"1.38,20816"
"1.39,20829"
"1.39,20842"
"1.39,20854"
"1.38,20867"
"1.39,20879"
"1.39,20891"
"1.39,20904"
"1.38,20917"
"1.39,20929"
"1.39,20941"
"1.39,20954"
"1.38,20967"
"1.39,20979"
"1.39,20992"
"1.39,21004"
"1.38,21016"
"1.39,21028"
"1.39,21042"
"1.39,21054"
"1.38,21066"
"1.39,21079"
"1.39,21091"
"1.39,21104"
"1.38,21116"
"1.39,21129"
"1.39,21141"
"1.38,21153"
"1.38,21167"
"1.39,21179"
"1.39,21191"
"1.38,21203"
"1.38,21216"
"1.39,21228"
"1.39,21241"
"1.38,21254"
"1.38,21266"
"1.39,21278"
"1.39,21291"
"1.38,21304"
"1.38,21316"
"1.39,21328"
"1.39,21341"
"1.38,21353"
"1.38,21366"
"1.39,21379"
"1.39,21391"
"1.38,21403"
"1.38,21415"
"1.39,21428"
"1.39,21441"
"1.38,21453"
"1.38,21466"
"1.39,21478"
"1.39,21490"
"1.38,21504"
"1.38,21516"
"1.39,21528"
"1.39,21540"
"1.38,21553"
"1.38,21566"
"1.39,21578"
"1.39,21591"
"1.38,21603"
"1.38,21615"
"1.39,21627"
"1.39,21641"
"1.38,21653"
"1.38,21665"
"1.39,21678"
"1.39,21690"
"1.38,21703"
"1.38,21715"
"1.39,21728"
"1.39,21740"
"1.38,21752"
"1.38,21766"
"1.39,21778"
"1.39,21790"
"1.38,21803"
"1.38,21815"
"1.39,21827"
"1.39,21840"
"1.38,21853"
"1.38,21865"
"1.39,21877"
"1.39,21890"
"1.38,21903"
"1.38,21915"
"1.39,21927"
"1.39,21940"
"1.38,21952"
"1.38,21965"
"1.39,21978"
"1.39,21990"
"1.38,22002"
"1.38,22014"
"1.39,22027"
"1.39,22040"
"1.38,22052"
"1.38,22065"
"1.39,22077"
"1.39,22089"
"1.38,22103"
"1.38,22115"
"1.39,22127"
"1.39,22139"
"1.38,22152"
"1.38,22165"
"1.39,22177"
"1.39,22190"
"1.38,22202"
"1.38,22214"
"1.39,22226"
"1.39,22240"
"1.38,22252"
"1.38,22264"
"1.39,22277"
"1.39,22289"
"1.38,22302"
"1.38,22315"
"1.39,22327"
"1.39,22339"
"1.38,22351"
"1.38,22365"
"1.39,22377"
"1.39,22389"
"1.38,22402"
"1.38,22414"
"1.39,22426"
"1.39,22439"
"1.38,22452"
"1.38,22464"
"1.39,22476"
"1.39,22489"
"1.38,22502"
"1.39,22514"
"1.39,22526"
"1.39,22539"
"1.38,22551"
"1.39,22564"
"1.39,22577"
"1.39,22589"
"1.38,22601"
"1.39,22614"
"1.39,22626"
"1.39,22639"
"1.38,22651"
"1.39,22664"
"1.39,22676"
