0:(-3.468899174471811e-08, 2.9743634661181995e-08, -1.7508391957303275e-06, -1.1490167472773781e-07, 6.805795722204912e-05, -3.0222809930541883e-12),(-5.431275, -22.944, -24.180799999999998, -0.23328, 0.59616, 0.176)
1:(-1.0250031506434672e-08, 8.988278848773296e-08, -1.796747835708803e-06, -8.637430825472805e-08, 0.00010386361572438958, 3.1392305503839866e-07),(-5.431275, -22.944, -25.603199999999998, -0.16662857142857143, 1.58112, 0.16)
2:(-0.008350443094246573, 0.505807816980492, 0.5207493901245259, -0.6110455989882673, 0.711565315722309, -0.017584191625382734),(-22.087185, -48.278, -10.769599999999999, 3.199268571428571, -0.28512000000000004, -0.864)
3:(-0.008346662861489305, 0.5058091878979839, 0.5207517147061436, -0.6107018589984802, 2.1091949939889045, -0.017522892001692127),(-17.742165000000004, -43.259, -9.652, 5.3654399999999995, 0.38880000000000003, -0.28800000000000003)
4:(-0.008346761572818764, 0.505809187902621, 0.5207520127318391, -0.6107047797006858, 0.8255358933958954, -0.017522828595598457),(-18.104250000000004, -43.736999999999995, -10.2616, 3.299245714285714, 1.1664, -0.28800000000000003)
5:(-0.008346566928806658, 0.5058091878909473, 0.52075123787034, -0.6107048988333402, -1.9570840597211243, -0.017522893840301642),(-18.104250000000004, -45.41, -10.5664, 3.399222857142857, 0.648, -0.224)
6:(-0.008346467273643772, 0.5058091878893002, 0.5207517743346614, -0.610704600790826, -1.9569668769247464, 1.9200644493896095),(-16.293825000000002, -43.976, -10.16, 3.6658285714285714, 0.80352, -0.528)
7:(-0.00834664399831045, 0.5058089494096777, 0.5207509994117275, -2.1198139209042104, -1.9569665202665034, 2.876841308825091),(-18.104250000000004, -43.736999999999995, -10.4648, 3.4658742857142855, 0.36288000000000004, -0.064)
8:(-0.00834688078803224, 0.634762346742936, 0.5207508206372202, -2.1199479103085377, -1.9569672346074973, 2.8766772746968323),(-18.466335, -49.233999999999995, -8.128, -4.332342857142857, 0.23328000000000002, -0.272)
9:(-0.00834670197103332, -0.3056109249663373, 0.5207501053874729, -2.1199469565936226, -1.9570206404015775, 2.876677989958881),(-17.017995000000003, 5.019, -16.256, -2.666057142857143, -2.2032000000000003, -0.192)
10:(-0.008346724360785459, -0.30561038853642464, -0.35358831296651894, -2.1199469566466376, -1.957024097526069, 2.8766777515320268),(-18.104250000000004, 6.931, -15.9512, -2.8326857142857143, -1.7625600000000001, -0.192)
11:(-0.8165402412416642, -0.30561068654131573, -0.35358929634673003, -2.119947195078001, -1.9570208788368202, 2.8766777515908557),(19.552590000000002, 7.409, -16.357599999999998, -2.9993142857142856, -1.58112, -0.20800000000000002)
12:(0.5705282688106882, -0.30561059713491573, -0.35358920692888535, -2.119946479816177, -1.9570206403837285, 2.876677751542077),(-20.276760000000003, 6.452999999999999, -16.256, -2.666057142857143, -1.4515200000000001, -0.192)
13:(0.5705306530041244, 0.8861781358695812, -0.3536056578051632, -2.1199476718869152, -1.9568557739189891, 2.876677989945069),(-10.500465000000002, -65.964, -19.7104, -2.7327085714285713, 0.9331200000000001, -0.176)
14:(0.5705307722092811, 0.7672708034422845, -0.3536002635987304, -2.119948863983205, -1.956868648549059, 2.8766777515118416),(-9.776295000000001, -65.725, -19.4056, -3.03264, -0.46656000000000003, -0.128)
15:(0.5705307722288411, 0.6316210027464931, -0.35360080031727653, -2.1199486262814693, -1.9568666219895476, 2.876677751537567),(-9.776295000000001, -58.555, -20.5232, -2.699382857142857, 0.0, -0.176)
16:(0.5705307722098053, 0.4859279096120059, -0.3536003828020323, -2.1199488639830713, -1.9568690061483076, 2.8766777515565467),(-9.776295000000001, -50.428999999999995, -20.726399999999998, -3.0992914285714286, -0.25920000000000004, -0.112)
